subset,relpath,env,move_label,act_label,composite_label,split
A_hand,A_hand/BACKWARD_01_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_01_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_02_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_02_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_03_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_03_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,val
A_hand,A_hand/BACKWARD_04_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,test
A_hand,A_hand/BACKWARD_04_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_05_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_05_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,val
A_hand,A_hand/BACKWARD_06_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,test
A_hand,A_hand/BACKWARD_06_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,val
A_hand,A_hand/BACKWARD_07_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,val
A_hand,A_hand/BACKWARD_07_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_08_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,test
A_hand,A_hand/BACKWARD_08_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,val
A_hand,A_hand/BACKWARD_09_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_09_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_10_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_10_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,test
A_hand,A_hand/BACKWARD_11_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_11_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_12_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,test
A_hand,A_hand/BACKWARD_12_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_13_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_13_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,val
A_hand,A_hand/BACKWARD_14_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,test
A_hand,A_hand/BACKWARD_14_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_15_E1.mp4,BrightQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/BACKWARD_15_E3.mp4,DimQuiet,BACKWARD,NONE,BACKWARD+NONE,train
A_hand,A_hand/FORWARD_01_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_01_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_02_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_02_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_03_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_03_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_04_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_04_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,val
A_hand,A_hand/FORWARD_05_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_05_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,val
A_hand,A_hand/FORWARD_06_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_06_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,test
A_hand,A_hand/FORWARD_07_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,val
A_hand,A_hand/FORWARD_07_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_08_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,test
A_hand,A_hand/FORWARD_08_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,test
A_hand,A_hand/FORWARD_09_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,test
A_hand,A_hand/FORWARD_09_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,val
A_hand,A_hand/FORWARD_10_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_10_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,val
A_hand,A_hand/FORWARD_11_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,test
A_hand,A_hand/FORWARD_11_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_12_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_12_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,test
A_hand,A_hand/FORWARD_13_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_13_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_14_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,val
A_hand,A_hand/FORWARD_14_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_15_E1.mp4,BrightQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/FORWARD_15_E3.mp4,DimQuiet,FORWARD,NONE,FORWARD+NONE,train
A_hand,A_hand/LEFT_01_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,test
A_hand,A_hand/LEFT_01_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_02_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_02_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_03_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_03_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,val
A_hand,A_hand/LEFT_04_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_04_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_05_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,val
A_hand,A_hand/LEFT_05_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_06_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_06_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_07_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_07_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,test
A_hand,A_hand/LEFT_08_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,test
A_hand,A_hand/LEFT_08_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,test
A_hand,A_hand/LEFT_09_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,val
A_hand,A_hand/LEFT_09_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_10_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_10_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_11_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_11_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,test
A_hand,A_hand/LEFT_12_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_12_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_13_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,test
A_hand,A_hand/LEFT_13_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,val
A_hand,A_hand/LEFT_14_E1.mp4,BrightQuiet,LEFT,NONE,LEFT+NONE,train
A_hand,A_hand/LEFT_14_E3.mp4,DimQuiet,LEFT,NONE,LEFT+NONE,val
